State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
Arizona,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"20,896,265"
California,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"39,636,042"
California,San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,707,101"
California,San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"10,340,164"
California,Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"5,934,639"
California,San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"5,321,603"
California,Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,217,242"
California,Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,969,366"
Colorado,Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"28,267,394"
Connecticut,Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"2,982,194"
Florida,Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"20,875,813"
Florida,Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"20,283,541"
Florida,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"14,263,270"
Florida,Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"9,194,994"
Florida,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"4,239,261"
Florida,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
Georgia,Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"50,501,858"
Hawaii,"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,656,340"
Hawaii,"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,352,813"
Illinois,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"37,589,899"
Illinois,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"11,044,387"
Indiana,Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,216,766"
Kentucky,Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"3,269,979"
Louisiana,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"5,569,705"
Maryland,Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,"13,371,816"
Massachusetts,Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Michigan,Detroit,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,"16,847,135"
Minnesota,Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"18,123,844"
MIssouri,St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"6,793,076"
Missouri,Kansas City,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,"5,391,557"
Nevada,Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,"22,833,267"
New Jersey,New York / Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"19,923,009"
New York,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"29,533,154"
New York,New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"14,614,802"
North Carolina,Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,511,880"
North Carolina,Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,"5,401,714"
Ohio,Cleveland,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,"4,083,476"
Ohio,Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,567,864"
Oregon,Portland,PDX,PDX,KPDX,Portland International Airport,P-L,"9,071,154"
Pennsylvania,Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"15,285,948"
Pennsylvania,Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"4,670,954"
Puerto Rico,San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,343,354"
Tennessee,Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"6,338,517"
Texas,Dallas,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"31,283,579"
Texas,Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"20,062,072"
Texas,Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"7,554,596"
Texas,Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"6,285,181"
Texas,Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,"6,095,545"
Texas,San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
Utah,Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
Virgina,"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
Virgina,"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
Washington,Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"21,887,110"
Wisconsin,Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,496,724"
